"trial_number_within_block","completion_code","condition","news_station_first","with_independent_council","X_I","X_F","source_type","block_stage","block_half","block_quarter","correct_state","posterior_blue_I","posterior_blue_F","ground_truth","change_of_mind"
1,"oovk5u7v","Without","First","true",1,3,"bluebias","normal",1,1,"green",0.74,0.36,-1,-0.38
2,"oovk5u7v","Without","First","true",3,5,"bluebias","normal",1,1,"green",0.85,0.93,-1,0.0800000000000001
3,"oovk5u7v","Without","First","true",3,4,"bluebias","normal",1,1,"blue",0.81,0.81,1,0
4,"oovk5u7v","Without","First","true",1,1,"bluebias","normal",1,1,"green",0.15,0.1,-1,-0.05
5,"oovk5u7v","Without","First","true",4,4,"bluebias","normal",1,1,"blue",0.93,1,1,0.07
6,"oovk5u7v","Without","First","true",2,3,"bluebias","normal",1,1,"green",0.75,0.51,-1,-0.24
7,"oovk5u7v","Without","First","true",1,4,"bluebias","normal",1,1,"green",0.84,0.48,-1,-0.36
8,"oovk5u7v","Without","First","true",2,5,"bluebias","normal",1,2,"blue",0.78,0.86,1,0.08
9,"oovk5u7v","Without","First","true",4,4,"bluebias","normal",1,2,"blue",0.77,1,1,0.23
10,"oovk5u7v","Without","First","true",1,3,"bluebias","normal",1,2,"green",0.73,0.49,-1,-0.24
11,"oovk5u7v","Without","First","true",3,5,"bluebias","normal",1,2,"blue",0.82,1,1,0.18
12,"oovk5u7v","Without","First","true",3,5,"bluebias","normal",1,2,"blue",0.82,1,1,0.18
13,"oovk5u7v","Without","First","true",1,1,"bluebias","normal",1,2,"green",0.24,0,-1,-0.24
14,"oovk5u7v","Without","First","true",4,5,"bluebias","normal",1,2,"blue",0.76,1,1,0.24
15,"oovk5u7v","Without","First","true",1,2,"bluebias","normal",2,3,"green",0.22,0.1,-1,-0.12
16,"oovk5u7v","Without","First","true",1,3,"bluebias","normal",2,3,"green",0.76,0.41,-1,-0.35
17,"oovk5u7v","Without","First","true",4,4,"bluebias","normal",2,3,"blue",0.78,1,1,0.22
18,"oovk5u7v","Without","First","true",3,4,"bluebias","normal",2,3,"blue",0.75,0.82,1,0.07
19,"oovk5u7v","Without","First","true",1,2,"bluebias","normal",2,3,"green",0.24,0.06,-1,-0.18
20,"oovk5u7v","Without","First","true",3,5,"bluebias","normal",2,3,"blue",0.81,0.93,1,0.12
21,"oovk5u7v","Without","First","true",4,4,"bluebias","normal",2,3,"blue",0.77,0.92,1,0.15
22,"oovk5u7v","Without","First","true",2,4,"bluebias","normal",2,4,"blue",0.81,0.64,1,-0.17
23,"oovk5u7v","Without","First","true",5,5,"bluebias","normal",2,4,"blue",0.75,1,1,0.25
24,"oovk5u7v","Without","First","true",3,5,"bluebias","normal",2,4,"blue",0.77,0.94,1,0.17
25,"oovk5u7v","Without","First","true",2,1,"bluebias","normal",2,4,"green",0.18,0.12,-1,-0.06
26,"oovk5u7v","Without","First","true",3,4,"bluebias","normal",2,4,"green",0.82,0.74,-1,-0.08
27,"oovk5u7v","Without","First","true",1,3,"bluebias","normal",2,4,"green",0.66,0.45,-1,-0.21
28,"oovk5u7v","Without","First","true",4,2,"bluebias","normal",2,4,"green",0.21,0.67,-1,0.46
29,"oovk5u7v","Without","First","true",NA,4,"bluebias","station_only",NA,NA,"blue",0.84,NA,1,NA
30,"oovk5u7v","Without","First","true",NA,1,"bluebias","station_only",NA,NA,"blue",0.2,NA,1,NA
31,"oovk5u7v","Without","First","true",NA,3,"bluebias","station_only",NA,NA,"blue",0.66,NA,1,NA
32,"oovk5u7v","Without","First","true",NA,2,"bluebias","station_only",NA,NA,"blue",0.37,NA,1,NA
33,"oovk5u7v","Without","First","true",NA,5,"bluebias","station_only",NA,NA,"blue",0.76,NA,1,NA
34,"oovk5u7v","Without","First","true",NA,0,"bluebias","station_only",NA,NA,"blue",0.24,NA,1,NA
1,"oovk5u7v","Without","First","true",3,2,"random","normal",1,1,"green",0.5,0.66,-1,0.16
2,"oovk5u7v","Without","First","true",3,2,"random","normal",1,1,"blue",0.42,0.7,1,0.28
3,"oovk5u7v","Without","First","true",4,3,"random","normal",1,1,"blue",0.62,0.82,1,0.2
4,"oovk5u7v","Without","First","true",0,2,"random","normal",1,1,"green",0.32,0,-1,-0.32
5,"oovk5u7v","Without","First","true",3,3,"random","normal",1,1,"blue",0.64,0.76,1,0.12
6,"oovk5u7v","Without","First","true",5,2,"random","normal",1,1,"blue",0.25,0.94,1,0.69
7,"oovk5u7v","Without","First","true",0,5,"random","normal",1,1,"green",0.75,0.5,-1,-0.25
8,"oovk5u7v","Without","First","true",2,1,"random","normal",1,2,"green",0.27,0.5,-1,0.23
9,"oovk5u7v","Without","First","true",3,4,"random","normal",1,2,"blue",0.78,0.81,1,0.03
10,"oovk5u7v","Without","First","true",2,2,"random","normal",1,2,"green",0.32,0.3,-1,-0.02
11,"oovk5u7v","Without","First","true",4,2,"random","normal",1,2,"blue",0.27,0.57,1,0.3
12,"oovk5u7v","Without","First","true",4,1,"random","normal",1,2,"blue",0.24,0.52,1,0.28
13,"oovk5u7v","Without","First","true",0,3,"random","normal",1,2,"green",0.73,0.24,-1,-0.49
14,"oovk5u7v","Without","First","true",1,4,"random","normal",1,2,"green",0.76,0.33,-1,-0.43
15,"oovk5u7v","Without","First","true",1,2,"random","normal",2,3,"green",0.5,0.28,-1,-0.22
16,"oovk5u7v","Without","First","true",0,4,"random","normal",2,3,"green",0.57,0.1,-1,-0.47
17,"oovk5u7v","Without","First","true",3,2,"random","normal",2,3,"green",0.34,0.55,-1,0.21
18,"oovk5u7v","Without","First","true",2,2,"random","normal",2,3,"green",0.5,0.36,-1,-0.14
19,"oovk5u7v","Without","First","true",2,3,"random","normal",2,3,"green",0.63,0.48,-1,-0.15
20,"oovk5u7v","Without","First","true",4,4,"random","normal",2,3,"blue",0.75,0.86,1,0.11
21,"oovk5u7v","Without","First","true",2,2,"random","normal",2,3,"blue",0.35,0.25,1,-0.1
22,"oovk5u7v","Without","First","true",0,3,"random","normal",2,4,"blue",0.59,0.19,1,-0.4
23,"oovk5u7v","Without","First","true",4,3,"random","normal",2,4,"blue",0.7,0.79,1,0.0900000000000001
24,"oovk5u7v","Without","First","true",3,4,"random","normal",2,4,"blue",0.76,0.66,1,-0.1
25,"oovk5u7v","Without","First","true",1,3,"random","normal",2,4,"green",0.71,0.35,-1,-0.36
26,"oovk5u7v","Without","First","true",3,2,"random","normal",2,4,"blue",0.42,0.75,1,0.33
27,"oovk5u7v","Without","First","true",4,4,"random","normal",2,4,"blue",0.48,1,1,0.52
28,"oovk5u7v","Without","First","true",1,3,"random","normal",2,4,"green",0.61,0.24,-1,-0.37
29,"oovk5u7v","Without","First","true",NA,4,"random","station_only",NA,NA,"blue",0.29,NA,1,NA
30,"oovk5u7v","Without","First","true",NA,5,"random","station_only",NA,NA,"blue",0.61,NA,1,NA
31,"oovk5u7v","Without","First","true",NA,3,"random","station_only",NA,NA,"blue",0.49,NA,1,NA
32,"oovk5u7v","Without","First","true",NA,0,"random","station_only",NA,NA,"blue",0.39,NA,1,NA
33,"oovk5u7v","Without","First","true",NA,1,"random","station_only",NA,NA,"blue",0.38,NA,1,NA
34,"oovk5u7v","Without","First","true",NA,2,"random","station_only",NA,NA,"blue",0.57,NA,1,NA
1,"oovk5u7v","Without","First","true",5,4,"helpful","normal",1,1,"blue",0.76,1,1,0.24
2,"oovk5u7v","Without","First","true",2,3,"helpful","normal",1,1,"blue",0.74,0.5,1,-0.24
3,"oovk5u7v","Without","First","true",1,0,"helpful","normal",1,1,"green",0.25,0,-1,-0.25
4,"oovk5u7v","Without","First","true",2,5,"helpful","normal",1,1,"blue",0.76,0.51,1,-0.25
5,"oovk5u7v","Without","First","true",5,4,"helpful","normal",1,1,"blue",0.77,1,1,0.23
