"completion_code","source_type","question","response","condition"
"oovk5u7v","bluebias","trust",84,"Without"
"oovk5u7v","bluebias","improve",84,"Without"
"oovk5u7v","random","trust",37,"Without"
"oovk5u7v","random","improve",25,"Without"
"oovk5u7v","helpful","trust",85,"Without"
"oovk5u7v","helpful","improve",86,"Without"
"oovk5u7v","opposite","trust",6,"Without"
"oovk5u7v","opposite","improve",7,"Without"
"8m0d1z43","random","trust",75,"Without"
"8m0d1z43","random","improve",73,"Without"
"8m0d1z43","opposite","trust",27,"Without"
"8m0d1z43","opposite","improve",31,"Without"
"8m0d1z43","bluebias","trust",100,"Without"
"8m0d1z43","bluebias","improve",100,"Without"
"8m0d1z43","helpful","trust",72,"Without"
"8m0d1z43","helpful","improve",73,"Without"
"8um84abg","opposite","trust",5,"Without"
"8um84abg","opposite","improve",2,"Without"
"8um84abg","random","trust",30,"Without"
"8um84abg","random","improve",27,"Without"
"8um84abg","helpful","trust",74,"Without"
"8um84abg","helpful","improve",75,"Without"
"8um84abg","bluebias","trust",77,"Without"
"8um84abg","bluebias","improve",75,"Without"
"lq0zt2wd","helpful","trust",89,"Without"
"lq0zt2wd","helpful","improve",75,"Without"
"lq0zt2wd","random","trust",68,"Without"
"lq0zt2wd","random","improve",63,"Without"
"lq0zt2wd","bluebias","trust",75,"Without"
"lq0zt2wd","bluebias","improve",69,"Without"
"lq0zt2wd","opposite","trust",22,"Without"
"lq0zt2wd","opposite","improve",25,"Without"
"m0tk4amg","bluebias","trust",46,"Without"
"m0tk4amg","bluebias","improve",45,"Without"
"m0tk4amg","random","trust",64,"Without"
"m0tk4amg","random","improve",58,"Without"
"m0tk4amg","opposite","trust",60,"Without"
"m0tk4amg","opposite","improve",58,"Without"
"m0tk4amg","helpful","trust",58,"Without"
"m0tk4amg","helpful","improve",63,"Without"
"l7znc5wo","random","trust",0,"Without"
"l7znc5wo","random","improve",0,"Without"
"l7znc5wo","bluebias","trust",76,"Without"
"l7znc5wo","bluebias","improve",83,"Without"
"l7znc5wo","helpful","trust",86,"Without"
"l7znc5wo","helpful","improve",87,"Without"
"l7znc5wo","opposite","trust",0,"Without"
"l7znc5wo","opposite","improve",74,"Without"
"0yvl4gzf","random","trust",31,"Without"
"0yvl4gzf","random","improve",21,"Without"
"0yvl4gzf","opposite","trust",0,"Without"
"0yvl4gzf","opposite","improve",0,"Without"
"0yvl4gzf","bluebias","trust",100,"Without"
"0yvl4gzf","bluebias","improve",86,"Without"
"0yvl4gzf","helpful","trust",75,"Without"
"0yvl4gzf","helpful","improve",99,"Without"
"p5ehl1jp","helpful","trust",50,"Without"
"p5ehl1jp","helpful","improve",50,"Without"
"p5ehl1jp","bluebias","trust",59,"Without"
"p5ehl1jp","bluebias","improve",67,"Without"
"p5ehl1jp","opposite","trust",50,"Without"
"p5ehl1jp","opposite","improve",54,"Without"
"p5ehl1jp","random","trust",50,"Without"
"p5ehl1jp","random","improve",52,"Without"
"f7yuyaqc","random","trust",74,"Without"
"f7yuyaqc","random","improve",24,"Without"
"f7yuyaqc","bluebias","trust",11,"Without"
"f7yuyaqc","bluebias","improve",28,"Without"
"f7yuyaqc","opposite","trust",2,"Without"
"f7yuyaqc","opposite","improve",76,"Without"
"f7yuyaqc","helpful","trust",91,"Without"
"f7yuyaqc","helpful","improve",90,"Without"
"fbrwpzxr","random","trust",49,"Without"
"fbrwpzxr","random","improve",49,"Without"
"fbrwpzxr","bluebias","trust",76,"Without"
"fbrwpzxr","bluebias","improve",77,"Without"
"fbrwpzxr","opposite","trust",22,"Without"
"fbrwpzxr","opposite","improve",25,"Without"
"fbrwpzxr","helpful","trust",76,"Without"
"fbrwpzxr","helpful","improve",76,"Without"
"jdhbm786","bluebias","trust",81,"Without"
"jdhbm786","bluebias","improve",50,"Without"
"jdhbm786","helpful","trust",100,"Without"
"jdhbm786","helpful","improve",100,"Without"
"jdhbm786","random","trust",25,"Without"
"jdhbm786","random","improve",0,"Without"
"jdhbm786","opposite","trust",0,"Without"
"jdhbm786","opposite","improve",0,"Without"
"vek3ksp9","random","trust",60,"Without"
"vek3ksp9","random","improve",27,"Without"
"vek3ksp9","opposite","trust",0,"Without"
"vek3ksp9","opposite","improve",0,"Without"
"vek3ksp9","helpful","trust",75,"Without"
"vek3ksp9","helpful","improve",77,"Without"
"vek3ksp9","bluebias","trust",50,"Without"
"vek3ksp9","bluebias","improve",50,"Without"
"q3b77d83","helpful","trust",75,"Without"
"q3b77d83","helpful","improve",50,"Without"
"q3b77d83","random","trust",40,"Without"
"q3b77d83","random","improve",26,"Without"
"q3b77d83","opposite","trust",8,"Without"
"q3b77d83","opposite","improve",6,"Without"
"q3b77d83","bluebias","trust",100,"Without"
"q3b77d83","bluebias","improve",100,"Without"
"md4w9nhx","random","trust",68,"Without"
"md4w9nhx","random","improve",66,"Without"
"md4w9nhx","helpful","trust",89,"Without"
"md4w9nhx","helpful","improve",90,"Without"
"md4w9nhx","bluebias","trust",25,"Without"
"md4w9nhx","bluebias","improve",25,"Without"
"md4w9nhx","opposite","trust",1,"Without"
"md4w9nhx","opposite","improve",0,"Without"
"le05ctsx","helpful","trust",51,"Without"
"le05ctsx","helpful","improve",49,"Without"
"le05ctsx","opposite","trust",50,"Without"
"le05ctsx","opposite","improve",50,"Without"
"le05ctsx","bluebias","trust",51,"Without"
"le05ctsx","bluebias","improve",50,"Without"
"le05ctsx","random","trust",24,"Without"
"le05ctsx","random","improve",70,"Without"
"6rmrw2uo","bluebias","trust",83,"Without"
