"","completion_code","source_type","X_F","posterior_blue_F","posterior_blue_F_data","block_stage","trial_number_within_block","condition","news_station_first","with_independent_council","X_I","block_half","block_quarter","correct_state","ground_truth","agent_name","learner_type","b_F_estimate","g_F_estimate","posterior_blue_I","a_I","c_I","a_F","c_F","posterior_indep","logodds_blue_I"
"1","74crp9wo","bluebias",0,0.00615438484938537,0.07,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","74crp9wo","bluebias",1,0.0298175700522951,0.12,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","74crp9wo","bluebias",2,0.134176682541538,0.34,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","74crp9wo","bluebias",3,0.443508387300709,0.78,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","74crp9wo","bluebias",4,0.807623669992324,0.9,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","74crp9wo","bluebias",5,0.957910446996932,0.95,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","74crp9wo","random",0,0.484511038052759,0.02,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","74crp9wo","random",1,0.489714180759492,0.17,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","74crp9wo","random",2,0.495840149143494,0.24,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","74crp9wo","random",3,0.50289519004342,0.71,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","74crp9wo","random",4,0.510887899737357,0.88,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","74crp9wo","random",5,0.519828554892799,0.95,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","74crp9wo","opposite",0,0.997024938312737,0.04,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","74crp9wo","opposite",1,0.970137324292352,0.14,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","74crp9wo","opposite",2,0.759815876694753,0.35,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","74crp9wo","opposite",3,0.235226525607402,0.32,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","74crp9wo","opposite",4,0.0288227695940694,0.84,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","74crp9wo","opposite",5,0.00281639575339461,0.9,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","74crp9wo","helpful",0,0.00132985921038365,0.15,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","74crp9wo","helpful",1,0.0146067148260542,0.29,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","74crp9wo","helpful",2,0.142993373240391,0.26,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
